Dosya,Şirket Adı,Web Sitesi,Eksik Link Sayısı,Eksik Linkler
infobim.json,İnfobim,https://infobim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
infoturk.json,İnfoturk,https://infoturk.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
intecon.json,İntecon,https://intecon.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
interra.json,İnterra,https://interra.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
intertech.json,İntertech,https://intertech.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
intra.json,İntra,https://intra.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
istar.json,İstar,https://istar.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
janusbarkod.json,Janusbarkod,https://janusbarkod.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
kare.json,Kare,https://kare.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
kumsaati.json,Kumsaati,https://kumsaati.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
kvkteknikservis.json,Kvkteknikservis,https://kvkteknikservis.com,6,"linkedin, x, instagram, facebook, youtube, github"
lnsiletisim.json,Lnsiletisim,https://lnsiletisim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
mahrek.json,Mahrek,https://mahrek.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
maroteknoloji.json,Maroteknoloji,https://maroteknoloji.com,6,"linkedin, x, instagram, facebook, youtube, github"
metod.json,Metod,https://metod.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
metsisbilisim.json,Metsisbilisim,https://metsisbilisim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
mikro.json,Mikro,https://mikro.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
nar.json,Nar,https://nar.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
nasailetisim.json,Nasailetisim,https://nasailetisim.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
nativebs.json,Nativebs,https://nativebs.com,6,"linkedin, x, instagram, facebook, youtube, github"
ncr.json,Ncr,https://ncr.com,6,"linkedin, x, instagram, facebook, youtube, github"
netmaster.json,Netmaster,https://netmaster.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
northteknoloji.json,Northteknoloji,https://northteknoloji.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
numeko.json,Numeko,https://numeko.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
optimumcozum.json,Optimumcozum,https://optimumcozum.com,6,"linkedin, x, instagram, facebook, youtube, github"
orbitel.json,Orbitel,https://orbitel.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
panates.json,Panates,https://panates.com,6,"linkedin, x, instagram, facebook, youtube, github"
park.json,Park,https://park.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
patikaglobal.json,Patikaglobal,https://patikaglobal.com,6,"linkedin, x, instagram, facebook, youtube, github"
peakup.json,Peakup,https://peakup.org,6,"linkedin, x, instagram, facebook, youtube, github"
plastkart.json,Plastkart,https://plastkart.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
protaaltar.json,Protaaltar,https://protaaltar.com,6,"linkedin, x, instagram, facebook, youtube, github"
pusulacc.json,Pusulacc,https://pusulacc.com.tr,6,"linkedin, x, instagram, facebook, youtube, github"
qadturkiye.json,Qadturkiye,https://qadturkiye.com,6,"linkedin, x, instagram, facebook, youtube, github"
rasyona.json,Rasyona,https://rasyona.com,6,"linkedin, x, instagram, facebook, youtube, github"
